,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000062309,1228.126762,-4.053708498,0.354037592,-11.44993805,2.35E-30,1.35E-28
ENSMUSG00000041605,963.9593398,2.952693073,0.258097212,11.44023621,2.63E-30,1.51E-28
ENSMUSG00000097768,234.2338841,-8.167634435,0.714115793,-11.43740904,2.72E-30,1.55E-28
ENSMUSG00000015133,730.3843758,6.439163997,0.563154096,11.43410665,2.82E-30,1.61E-28
ENSMUSG00000017861,8130.401528,-2.257288914,0.197505806,-11.42897495,3.00E-30,1.70E-28
ENSMUSG00000032224,255.0993581,-4.959107048,0.43406675,-11.42475678,3.15E-30,1.78E-28
ENSMUSG00000020607,302.5864039,6.71649195,0.588045822,11.42171528,3.26E-30,1.84E-28
ENSMUSG00000038155,265.7851262,-8.337219554,0.73026662,-11.41667896,3.45E-30,1.95E-28
ENSMUSG00000022629,620.8817683,4.120888025,0.361059954,11.4133068,3.59E-30,2.02E-28
ENSMUSG00000032348,5088.843234,-2.666857272,0.233778389,-11.40762961,3.83E-30,2.15E-28
ENSMUSG00000038894,1516.333439,4.072528222,0.357142821,11.40308019,4.04E-30,2.26E-28
ENSMUSG00000003420,277.6745511,-5.911599708,0.518839348,-11.39389241,4.48E-30,2.50E-28
ENSMUSG00000098161,187.1293089,-4.497550459,0.394983699,-11.38667361,4.87E-30,2.71E-28
ENSMUSG00000038244,461.0989573,6.902348027,0.606258708,11.3851528,4.96E-30,2.76E-28
ENSMUSG00000023885,142.0808719,5.987054874,0.526104659,11.37996931,5.26E-30,2.92E-28
ENSMUSG00000038214,4202.658606,2.368083315,0.208375157,11.36451845,6.28E-30,3.47E-28
ENSMUSG00000021953,2175.390189,-7.531186751,0.66282241,-11.36229952,6.44E-30,3.55E-28
ENSMUSG00000028849,3521.722334,2.366932868,0.208643975,11.34436239,7.91E-30,4.35E-28
ENSMUSG00000037788,478.3030958,4.558020519,0.402102108,11.33548028,8.76E-30,4.80E-28
ENSMUSG00000030111,435.8836551,-5.675085123,0.50092355,-11.32924399,9.40E-30,5.15E-28
ENSMUSG00000086841,760.2367384,-2.990083745,0.264163588,-11.31906091,1.06E-29,5.77E-28
ENSMUSG00000032332,198.4374386,7.974097793,0.705132557,11.30865071,1.19E-29,6.48E-28
ENSMUSG00000010362,491.5905691,-3.270088205,0.289312191,-11.30297412,1.27E-29,6.89E-28
ENSMUSG00000022346,2026.118859,4.933256903,0.436678249,11.29723524,1.35E-29,7.34E-28
ENSMUSG00000040711,2243.485114,6.074031883,0.537925303,11.29158984,1.44E-29,7.81E-28
ENSMUSG00000031137,457.3181537,4.367423556,0.387399152,11.27370449,1.77E-29,9.55E-28
ENSMUSG00000037188,266.4141095,-4.222664204,0.374887084,-11.26382953,1.98E-29,1.07E-27
ENSMUSG00000086040,374.7436632,3.964210343,0.352136654,11.25759077,2.12E-29,1.14E-27
ENSMUSG00000000305,292.3185767,4.221364161,0.375135615,11.25290159,2.24E-29,1.20E-27
ENSMUSG00000046798,1467.133929,1.870828263,0.166284577,11.25076236,2.30E-29,1.23E-27
ENSMUSG00000034751,884.9845605,2.873250329,0.255428998,11.24872413,2.35E-29,1.25E-27
ENSMUSG00000070348,10039.14185,2.352376297,0.209189436,11.24519643,2.45E-29,1.30E-27
ENSMUSG00000023495,9677.143297,2.41490816,0.21482144,11.24146715,2.55E-29,1.35E-27
ENSMUSG00000021196,3347.246667,-3.413114976,0.303738911,-11.23700275,2.68E-29,1.42E-27
ENSMUSG00000032334,395.4318355,6.384816135,0.568446454,11.23204497,2.84E-29,1.50E-27
ENSMUSG00000000957,2353.834931,4.541688531,0.404951401,11.21539158,3.43E-29,1.80E-27
ENSMUSG00000047878,759.2810761,-3.689450976,0.329393418,-11.20074286,4.04E-29,2.12E-27
ENSMUSG00000020032,735.2121509,4.16181036,0.371636138,11.19861589,4.14E-29,2.17E-27
ENSMUSG00000020186,1212.63937,-2.082775421,0.186000393,-11.19769368,4.18E-29,2.19E-27
ENSMUSG00000048644,630.4545244,3.121537131,0.278917697,11.19160657,4.48E-29,2.34E-27
ENSMUSG00000002688,227.4189388,5.877628787,0.525256687,11.19001229,4.56E-29,2.38E-27
ENSMUSG00000037552,2575.46861,3.063677767,0.274605753,11.15664088,6.65E-29,3.45E-27
ENSMUSG00000048376,2131.762555,2.5329863,0.227205605,11.14843226,7.29E-29,3.78E-27
ENSMUSG00000035413,686.5537238,3.376252432,0.303130298,11.1379577,8.20E-29,4.24E-27
ENSMUSG00000042686,1152.138556,5.245033758,0.471461124,11.125061,9.47E-29,4.88E-27
ENSMUSG00000038900,15897.77669,-2.090557548,0.188149997,-11.11112189,1.11E-28,5.70E-27
ENSMUSG00000031217,550.2008844,3.948573958,0.355660036,11.10210188,1.23E-28,6.27E-27
