"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000028364",4006.88485557309,-9.22229396448137,0.465799342037912,-19.7988557135633,3.04532864405114e-87,3.50280468035749e-84
"ENSMUSG00000056481",695.697008890234,-8.89850310065034,0.462501628688629,-19.2399389508769,1.71410172248579e-82,1.86782958222873e-79
"ENSMUSG00000025348",577.480539387595,-8.09663354236833,0.424137352639659,-19.089649831542,3.0782584209445e-81,3.18661311736175e-78
"ENSMUSG00000029304",3471.19404294628,-6.73884667220282,0.355703305413758,-18.9451336820278,4.84359331236625e-80,4.77532171139194e-77
"ENSMUSG00000026043",391.869003335612,-8.54039640501896,0.457587836527165,-18.6639497890411,9.72685654633144e-78,9.15385626978391e-75
"ENSMUSG00000031538",252.837038468516,-5.75018723733278,0.314912044517734,-18.2596611893292,1.73363564827274e-74,1.56057358529734e-71
"ENSMUSG00000020689",560.17435432492,-9.67864298989848,0.532122972012765,-18.1887336178869,6.33878845911989e-74,5.46826151073409e-71
"ENSMUSG00000025650",910.273969983905,-6.27929161824616,0.346798178562529,-18.1064723127258,2.83333328729744e-73,2.34645329520824e-70
"ENSMUSG00000118667",558.262704751003,-6.98234127695739,0.394146782437221,-17.7150787170755,3.20778444231635e-70,2.55438342668145e-67
"ENSMUSG00000032060",529.541694754161,-8.41329603106793,0.476743800227042,-17.6474157127187,1.06520198306469e-69,8.16812661384125e-67
"ENSMUSG00000025212",824.894659192878,-3.62516330843522,0.206059961480029,-17.5927593230506,2.79909759221533e-69,2.06973273390093e-66
"ENSMUSG00000001025",1967.14968298684,-7.59621543337057,0.431920955431594,-17.5870499864497,3.09579976584516e-69,2.15936517570832e-66
"ENSMUSG00000096014",614.490020794466,-7.77818760050789,0.442283060136851,-17.5864470099786,3.12891012708895e-69,2.15936517570832e-66
"ENSMUSG00000039376",307.580927306209,-6.40677369550087,0.36462752576614,-17.5707351825379,4.12788282698727e-69,2.7568930983853e-66
"ENSMUSG00000026193",26800.2679978339,-5.06718979599465,0.290100629650146,-17.4670072316132,2.55552871525013e-68,1.65342707876683e-65
"ENSMUSG00000044279",638.728956194342,3.69858674809007,0.212123663150287,17.4359931992578,4.39851155536454e-68,2.75959949218992e-65
"ENSMUSG00000026728",22708.596944536,-5.41923166909485,0.317294736147187,-17.0794880964586,2.10961501980923e-65,1.2810709463407e-62
"ENSMUSG00000006205",445.037997456162,-5.09277135688866,0.298207268112945,-17.0779585256782,2.16564350472974e-65,1.2810709463407e-62
"ENSMUSG00000035493",2257.29883475064,-7.74376833422663,0.455834868884126,-16.9880999959113,1.00595287184212e-64,5.78534673850532e-62
"ENSMUSG00000064080",878.480419148679,-6.36202227775777,0.377662912968234,-16.8457692277899,1.12694021678668e-63,6.30599195901389e-61
"ENSMUSG00000030782",1306.04788398063,-6.61715427967081,0.393350267005085,-16.8225493529035,1.66822973249811e-63,9.08921799516867e-61
"ENSMUSG00000001131",1102.31863218511,-2.60228179496278,0.155560255799882,-16.7284489317789,8.13287746688054e-63,4.31751525831525e-60
"ENSMUSG00000046733",545.813012852643,-8.52874402979873,0.510364535448229,-16.7110828386779,1.08841016368094e-62,5.63361100721256e-60
"ENSMUSG00000039960",1127.87782280844,-2.59531947749464,0.155668265966635,-16.6721165767396,2.09058792814859e-62,1.05569591376557e-59
