"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000026398",612.280417638764,-9.72754867348357,0.495483377129915,-19.6324420202154,8.16923716337105e-86,4.54167692759515e-83
"ENSMUSG00000036167",4789.08308339173,3.74046948087634,0.193185462806099,19.3620649636078,1.61288726815744e-83,8.74265543704738e-81
"ENSMUSG00000026748",594.332949839625,4.87104375117668,0.251604079268639,19.3599553923601,1.68030903108703e-83,8.8859659541534e-81
"ENSMUSG00000053175",594.420065777036,-7.36035775377236,0.381489489717954,-19.2937366615633,6.06288095893017e-83,3.12989011789343e-80
"ENSMUSG00000014602",2529.1643928103,8.07041331930576,0.422569146810979,19.0984443142882,2.60122796245684e-81,1.3116238298137e-78
"ENSMUSG00000050966",23263.0640210394,4.23797293680693,0.222025429103378,19.0877817641045,3.19031714449918e-81,1.5721012801598e-78
"ENSMUSG00000063632",5485.38385742923,7.633887176029,0.40001009491296,19.0842363058114,3.41430423789518e-81,1.64508765524541e-78
"ENSMUSG00000051343",1374.65013520251,-5.38630718003323,0.283225350328419,-19.0177439052946,1.21604765152708e-80,5.73181416965436e-78
"ENSMUSG00000001864",1538.56301928047,4.70373608270242,0.250121820001657,18.80578064989,6.7717929105364e-79,3.12395774226064e-76
"ENSMUSG00000004151",1182.43771411735,3.59554275331704,0.191618058367209,18.7641122342795,1.4845705383408e-78,6.70592883589694e-76
"ENSMUSG00000058254",1646.09099079377,7.44266968869512,0.398918689936636,18.6571095224376,1.10551707666421e-77,4.89180025637417e-75
"ENSMUSG00000032470",447.054282983936,-7.45569419044962,0.399827393339905,-18.6472820888271,1.3286192911491e-77,5.76142469413896e-75
"ENSMUSG00000020182",312.404187010939,-5.58653253451164,0.3006504150942,-18.5814895108702,4.53734979942472e-77,1.91868600799339e-74
"ENSMUSG00000024725",1170.68797490762,-3.60858341628751,0.194211014973179,-18.5807350668852,4.60158990940211e-77,1.91868600799339e-74
"ENSMUSG00000062591",1412.11493870123,8.35867890484356,0.4504669227405,18.5555886190088,7.34978986996932e-77,3.00675743322028e-74
"ENSMUSG00000005360",803.25963546893,6.57127260388588,0.355118372574684,18.5044568554501,1.90085337683659e-76,7.63227831788349e-74
"ENSMUSG00000022263",3836.27426255626,3.40732651358121,0.18549445555609,18.3688860314798,2.33148007204953e-75,9.19111834948687e-73
"ENSMUSG00000050953",11401.7200149485,5.72639147365057,0.311963249423833,18.3559809824609,2.95698474688526e-75,1.14488113003511e-72
"ENSMUSG00000028047",564.419872962659,3.76257894686719,0.205216682494268,18.3346641273781,4.37711502760232e-75,1.66499312330655e-72
"ENSMUSG00000042225",1761.78335552745,2.68609916322431,0.146519132429732,18.3327536730571,4.53361277952734e-75,1.66606427602901e-72
"ENSMUSG00000037239",1329.43149519598,4.01254807408857,0.218866834596964,18.3332850839532,4.48952974265007e-75,1.66606427602901e-72
"ENSMUSG00000028435",549.326026070427,-9.70237977487219,0.52979457340663,-18.3134751880997,6.46114789415512e-75,2.33484347735119e-72
"ENSMUSG00000028773",1391.24652544625,-6.41455811109882,0.350746203519557,-18.2883180109494,1.025302153007e-74,3.64436086581932e-72
"ENSMUSG00000018604",1287.98967065871,-8.25812676230617,0.452269850300239,-18.2592909008284,1.74543213630103e-74,6.10394509343207e-72
"ENSMUSG00000045639",750.703099740356,4.51267194781103,0.247218405006618,18.2537863541763,1.93053248618807e-74,6.64409608976662e-72
"ENSMUSG00000052776",355.94286314453,-6.97601193244285,0.382894014972605,-18.2191720414903,3.63615168276051e-74,1.23186001227521e-71
"ENSMUSG00000000544",685.062956412435,-7.78168086070621,0.427368215521903,-18.2083753027894,4.42895872320758e-74,1.47736435440903e-71
"ENSMUSG00000024409",903.471669005405,6.70717619775404,0.371069551115358,18.0752534870987,4.99253917712918e-73,1.64012476421992e-70
"ENSMUSG00000026564",392.641496062338,-7.44492194006838,0.413321619014386,-18.0124184111677,1.55675983474679e-72,5.03786070701193e-70
"ENSMUSG00000001555",1994.41213605723,4.83921555107928,0.269499935503281,17.9562772141011,4.28607805234417e-72,1.36662859310186e-69
"ENSMUSG00000020886",1043.19210606967,6.39320329343583,0.356596166916537,17.9284128282068,7.07712695389051e-72,2.22385893643846e-69
"ENSMUSG00000027610",1070.10188527287,-2.97430959245153,0.166068704855712,-17.9101149433046,9.83323054893516e-72,3.0457729251716e-69
"ENSMUSG00000016262",800.124906318178,5.01026656460454,0.280077159195455,17.8888795466112,1.43974271761926e-71,4.396690366679e-69
"ENSMUSG00000023927",1466.89023875385,4.45200226926857,0.249149377235853,17.8688075349037,2.06358453823237e-71,6.21425554971587e-69
"ENSMUSG00000069662",13306.9745471851,5.16549071626468,0.289266111152159,17.8572273664907,2.53944502558319e-71,7.54249959516366e-69
"ENSMUSG00000023022",3151.14389770001,-4.14945559271962,0.233611740940025,-17.7621877052186,1.38720692704994e-70,4.06451629625633e-68
"ENSMUSG00000021196",3347.24666671122,-4.68705470269075,0.263918929100143,-17.7594487772124,1.45657992745477e-70,4.21087546494323e-68
"ENSMUSG00000055148",2696.20047306191,-8.38744223555766,0.472784629457164,-17.7405137835971,2.04060646246478e-70,5.82163543673175e-68
"ENSMUSG00000038552",523.033791801873,4.94389986782639,0.279672472659814,17.6774632869929,6.25477760870925e-70,1.76124789755888e-67
"ENSMUSG00000045394",4162.26531294789,3.24981772056783,0.184225903728944,17.6403950518781,1.20614787217271e-69,3.35278181595496e-67
"ENSMUSG00000029337",3075.02452413508,11.2235811302291,0.636642603907968,17.6293277599304,1.46700876197475e-69,4.02628911102993e-67
"ENSMUSG00000074637",2077.00150257749,-3.83130381964032,0.217804117669483,-17.5905940651421,2.90812893042029e-69,7.88175643367158e-67
"ENSMUSG00000078952",2036.90934928298,-6.17244628953411,0.351977242784995,-17.5364925320031,7.54424630308406e-69,2.01943639930208e-66
"ENSMUSG00000021665",915.291685805233,-3.85380688929034,0.22205311019372,-17.3553384860418,1.7973797137625e-67,4.75253499436567e-65
"ENSMUSG00000090125",3759.80139074516,7.31920170092468,0.422485838303928,17.3241350060576,3.09311223142729e-67,8.08010354238633e-65
"ENSMUSG00000042988",330.573781372571,-8.7044587064766,0.502820990030377,-17.3112476986109,3.86938461234311e-67,9.98761871009801e-65
"ENSMUSG00000020695",1023.54953763524,6.92655255650974,0.401736785910525,17.2415193216895,1.29585929353538e-66,3.30550837675694e-64
"ENSMUSG00000030342",2314.40261050037,-3.51228313179372,0.203791585592116,-17.2346818029252,1.45853700791831e-66,3.67720923321915e-64
"ENSMUSG00000028402",751.186274909479,4.61380433100184,0.268825663085422,17.1628120546503,5.04125214170576e-66,1.25637274639614e-63
"ENSMUSG00000054702",1064.15653672212,7.44462993308864,0.436133981624119,17.0695938559192,2.49932490109888e-65,6.15799573927568e-63
"ENSMUSG00000028836",402.823734610129,-5.05083229930739,0.299182552245027,-16.8821084699178,6.09292686312365e-64,1.48434651962075e-61
"ENSMUSG00000073481",2038.07579762511,-4.28079722819713,0.25413601505755,-16.8445122869646,1.15114100985542e-63,2.77322659729836e-61
"ENSMUSG00000039470",1228.8200646624,3.04222103426466,0.180702718834159,16.8355022762921,1.34046102839876e-63,3.19383252942219e-61
"ENSMUSG00000071658",1993.5353923961,3.79252623907524,0.225461961853668,16.821135627023,1.70852077994628e-63,4.02653777726035e-61
"ENSMUSG00000042155",696.078553934107,4.81921014921965,0.287331547355201,16.77229734632,3.8916688066552e-63,9.0730282866557e-61
"ENSMUSG00000042686",1152.13855563585,7.10941762053868,0.424073390782985,16.7645925801009,4.4304062385988e-63,1.02191561771595e-60
"ENSMUSG00000068699",5568.54446824661,5.38399842585147,0.321245148377065,16.7597812855743,4.80388096078705e-63,1.09639733675563e-60
"ENSMUSG00000040097",2783.65389773686,2.40643994401148,0.143602009534613,16.7577038219054,4.9746892137353e-63,1.12355428679384e-60
"ENSMUSG00000051375",3263.32931536105,5.82173302317591,0.347543457597451,16.7510937004,5.55947277417831e-63,1.24268545040963e-60
