"gene_id","gene_name","aligned.EpiSCs_rep1","aligned.EpiSCs_rep2","aligned.fPSCs_P1","aligned.fPSCs_P10","aligned.fPSCs_P20","aligned.fPSCs_P30","aligned.mESCs_rep1","aligned.mESCs_rep2"
"ENSMUSG00000057335",NA,8258.68840000239,11468.2210178842,9011.4030949434,6606.61614103582,4768.73557896508,4969.13316704542,5627.36267477648,4694.57148942279
"ENSMUSG00000104154",NA,0,0,237031.612638316,161033.588034725,0,0,0,129639.284815086
"ENSMUSG00000025912",NA,8779.42544632811,7366.59940757791,52464.6092456729,18224.6713942294,10750.1373174992,22058.5384410815,26533.5847693999,38939.0574509989
"ENSMUSG00000045210",NA,11938.6404842782,11378.0852179761,16542.7753938053,15381.6974538339,11682.5793167653,15354.2479383136,9891.40462370775,10405.1926095801
"ENSMUSG00000041763",NA,11486.365315285,11968.1123061401,19202.0299242881,11629.5800532415,11456.1474118631,11530.4779101774,11935.905203144,10017.4187879465
"ENSMUSG00000026504",NA,59414.015270883,55494.10804131,20570.7778281435,21631.9689972014,27304.946952898,32708.489633441,15154.8595282374,9910.22585251154
"ENSMUSG00000047343",NA,0,50805.2164255437,37264.6661418098,50633.4393875844,25617.6378817775,51932.3008215481,0,16304.8788766204
"ENSMUSG00000102211",NA,0,0,0,1179576.29095694,0,201639.178656318,0,0
"ENSMUSG00000026483",NA,7426.87734660588,8666.67099097945,9801.09055186839,7255.3892808208,6133.91420782999,9342.15077901871,42190.9989049389,44684.262951488
"ENSMUSG00000019699",NA,33173.3256301707,24587.0893686602,32892.7645929414,33067.6252428124,33289.0786251977,28466.1522910947,6498.58548408286,3185.40999064498
"ENSMUSG00000103646",NA,28986.6723699581,27183.4140310294,0,108366.017785191,68533.7949556711,111145.849512126,0,17447.9041489179
"ENSMUSG00000063659",NA,19458.9207292563,17786.3986026955,26619.0850989101,26397.5491138221,19528.7660476951,23926.483959199,15858.5280967335,13343.7861099157
"ENSMUSG00000026049",NA,52133.1976092815,43651.7821167988,62897.1053738557,63516.1195726189,75716.6163808442,53544.2060429016,53997.6147397166,113754.157748614
"ENSMUSG00000043019",NA,18516.0476571576,19400.8651261077,23570.1121676215,20532.3381907963,19407.0954954029,17002.0376440781,21560.367039525,16726.3850729796
"ENSMUSG00000032666",NA,13932.602548846,11743.1402254922,12746.5276928307,10256.582302062,9727.80427217799,8442.13099741815,10445.8106872016,7537.43384947186
"ENSMUSG00000015961",NA,18259.3052947313,15649.0025536661,32521.7016510451,31112.1664551946,26859.4129334563,24568.7391552026,35151.7353464813,36579.7684354269
"ENSMUSG00000089657",NA,0,0,0,0,0,386162.708352489,525734.155685688,727447.398256905
"ENSMUSG00000014980",NA,38716.7280375993,38957.9831984157,24591.269131661,38264.3775953943,36842.9330371061,28584.4179567964,13965.7267504624,18455.5869385718
"ENSMUSG00000026235",NA,12241.9885910212,11689.1503857004,1565.05341986002,1456.20353870086,1841.89023043875,1209.07110987202,50124.3766722346,44034.1731790656
"ENSMUSG00000032649",NA,140779.343130934,78584.2098663509,0,0,6339.95317242934,0,5832.55896994215,4035.19516658626
"ENSMUSG00000101849",NA,73904.6563229073,69307.0541525368,33890.2763138064,0,34946.8645318034,0,128600.096974041,200183.934344169
"ENSMUSG00000026047",NA,54609.5881768498,63274.1158961615,36813.7313565014,33909.2471144937,38823.0720100749,45670.0381999441,20562.3527645303,18935.5412585623
"ENSMUSG00000104097",NA,0,0,319016.877453452,1300394.45409382,657925.56522668,333438.123073823,0,837500.842221187
"ENSMUSG00000004872",NA,53940.9443234325,86717.6278643296,0,0,0,0,17878.4035591458,3092.24681653151
"ENSMUSG00000041684",NA,34453.5588701091,27973.0399524644,35774.4446154174,36355.9251436447,31939.4927382681,34676.6203676994,20181.5482492622,16400.9573194352
"ENSMUSG00000032908",NA,16203.8421144695,16884.2250239561,21466.0506329148,57212.2689620461,57892.3022568338,20710.550170402,31328.8885520004,28176.9347561431
"ENSMUSG00000026502",NA,13090.2977600821,11586.0925423708,15822.9046467887,19991.1542727926,18546.0140895777,21679.2440559706,4502.02740259677,4000.26435607686
"ENSMUSG00000103958",NA,0,0,1107419.71207087,0,0,0,0,0
"ENSMUSG00000026048",NA,21381.7576275576,22170.3759023175,26456.9290759004,17719.1769794767,16474.3490642629,24200.2301109817,21394.8702336533,20734.3710331349
"ENSMUSG00000101567",NA,0,0,0,522346.429259134,211422.045753916,214298.315306611,875257.564433801,1412921.59993909
"ENSMUSG00000026245",NA,39609.3130794205,32466.8804536581,53159.9969287988,55335.7296261109,54641.6121808955,46026.2598772814,49572.1297801921,50867.4673866199
"ENSMUSG00000104018",NA,0,0,183747.419399737,249667.172312678,0,64017.9239976071,58104.0210834496,120595.985180834
"ENSMUSG00000090486",NA,56183.1495186386,87813.3345467666,34351.6914197711,0,17711.3325274955,89761.4226781068,16293.8729345991,0
"ENSMUSG00000026482",NA,42584.7785115777,44597.6666850752,8946.74754629729,12097.966775202,15435.2688577923,15645.2563909988,3835.62284406058,1637.34969318017
"ENSMUSG00000080950",NA,78488.4220403418,29442.2656831219,115175.17591897,176056.312298277,133611.707296867,15047.7126749831,109260.976917351,56693.3015455343
"ENSMUSG00000008475",NA,93291.0158312317,91451.302668276,31012.8541486774,33643.0561358171,34094.5225774229,25016.9051594523,56729.0907352995,74128.5638158795
"ENSMUSG00000056870",NA,58282.7867072813,39806.810553459,62328.4343598127,39261.1090324892,25791.8521392899,25088.5922181242,9184.91561963511,6354.48819375106
"ENSMUSG00000039630",NA,8511.57544126463,7572.152792392,14878.16346703,12398.5589322818,12398.2472177722,13369.2414993207,9051.12698379868,8035.26248759011
"ENSMUSG00000104279",NA,136028.463945168,86415.7757576388,16097.609765338,65617.9780521693,109971.55967003,88332.8598540679,19088.7549656592,13206.3562786989
"ENSMUSG00000026495",NA,30230.4621805433,35245.7318431508,47208.1428739592,30544.8372449779,33225.989913038,28978.7523496745,11373.7203066491,24098.1691179276
"ENSMUSG00000032883",NA,16107.2551488428,16589.5526143845,28961.5567138194,26076.4599811524,28470.3184598444,27340.3826291255,40556.793519881,45413.4027598952
"ENSMUSG00000026480",NA,1652.87609363004,4086.49760899763,1791.5307593344,280.874537274753,1136.85221041978,1152.31839979982,57653.5031741645,50197.8944680894
"ENSMUSG00000026494",NA,25881.7764872618,26403.644764529,641.54283939511,7028.06199356051,3473.10627046787,1341.08791952908,2434.39948955514,842.106964063013
"ENSMUSG00000025915",NA,2836.65047641092,2986.43152140627,6602.15239881918,7703.45303190495,5466.63557053898,5541.00585387983,21117.7063762377,17622.2836863217
"ENSMUSG00000079470",NA,10112.0890514466,9541.1948985285,14850.0218316977,21201.8332807974,21492.9549922246,32093.2553531959,10615.0864814698,10318.8538619092
"ENSMUSG00000099377",NA,38079.627235658,124987.43940972,104772.485509267,53384.9338103422,72025.9664620689,91257.2954260256,49696.2302399925,45842.4256192223
"ENSMUSG00000047330",NA,66157.0749561488,310207.245706252,0,0,0,0,0,0
"ENSMUSG00000072978",NA,376515.526865834,0,345315.596521255,0,356081.409918484,902314.207411841,163791.889700495,113317.712697215
"ENSMUSG00000046334",NA,51255.948122223,0,94017.2558004219,239524.000673421,339319.424571868,98267.3316875481,1114868.84368529,863867.643638495
"ENSMUSG00000050711",NA,155137.291064305,242477.023051003,0,0,0,0,0,0
